student_id,name,department,year,bus_id,stop_id
S001,Student-001,MECH,1,B02,ST03
S002,Student-002,MECH,4,B05,ST09
S003,Student-003,MECH,3,B02,ST04
S004,Student-004,EEE,3,B01,ST01
S005,Student-005,IT,3,B03,ST05
S006,Student-006,EEE,1,B01,ST01
S007,Student-007,MECH,3,B03,ST06
S008,Student-008,MECH,1,B01,ST02
S009,Student-009,MECH,3,B04,ST07
S010,Student-010,MECH,2,B06,ST12
S011,Student-011,CSE,2,B06,ST11
S012,Student-012,IT,1,B03,ST05
S013,Student-013,EEE,3,B04,ST08
S014,Student-014,ECE,2,B02,ST04
S015,Student-015,CSE,2,B06,ST12
S016,Student-016,IT,4,B05,ST09
S017,Student-017,MECH,2,B04,ST08
S018,Student-018,CSE,2,B06,ST12
S019,Student-019,EEE,3,B01,ST02
S020,Student-020,MECH,3,B01,ST01
S021,Student-021,EEE,4,B02,ST04
S022,Student-022,IT,2,B02,ST04
S023,Student-023,MECH,4,B06,ST12
S024,Student-024,ECE,2,B05,ST10
S025,Student-025,CSE,1,B02,ST04
S026,Student-026,IT,4,B01,ST01
S027,Student-027,EEE,4,B05,ST09
S028,Student-028,MECH,3,B05,ST10
S029,Student-029,CSE,3,B05,ST09
S030,Student-030,CSE,3,B06,ST12
S031,Student-031,EEE,1,B04,ST07
S032,Student-032,MECH,2,B06,ST12
S033,Student-033,ECE,2,B05,ST09
S034,Student-034,IT,1,B02,ST04
S035,Student-035,EEE,1,B05,ST10
S036,Student-036,ECE,2,B01,ST02
S037,Student-037,MECH,1,B01,ST01
S038,Student-038,CSE,2,B01,ST02
S039,Student-039,MECH,2,B02,ST04
S040,Student-040,IT,2,B03,ST06
S041,Student-041,EEE,3,B06,ST12
S042,Student-042,CSE,2,B04,ST08
S043,Student-043,ECE,1,B02,ST03
S044,Student-044,MECH,2,B05,ST09
S045,Student-045,CSE,2,B01,ST01
S046,Student-046,ECE,1,B01,ST01
S047,Student-047,ECE,4,B05,ST09
S048,Student-048,MECH,4,B02,ST03
S049,Student-049,EEE,2,B02,ST04
S050,Student-050,EEE,3,B01,ST01
S051,Student-051,EEE,1,B04,ST08
S052,Student-052,CSE,4,B06,ST11
S053,Student-053,CSE,2,B06,ST12
S054,Student-054,MECH,4,B02,ST03
S055,Student-055,IT,3,B02,ST04
S056,Student-056,CSE,4,B04,ST07
S057,Student-057,CSE,1,B05,ST09
S058,Student-058,IT,4,B01,ST01
S059,Student-059,IT,4,B04,ST08
S060,Student-060,EEE,1,B01,ST01
S061,Student-061,EEE,3,B04,ST08
S062,Student-062,IT,2,B04,ST08
S063,Student-063,CSE,1,B03,ST05
S064,Student-064,CSE,1,B06,ST12
S065,Student-065,MECH,2,B05,ST10
S066,Student-066,IT,1,B01,ST01
S067,Student-067,IT,4,B05,ST09
S068,Student-068,MECH,1,B01,ST01
S069,Student-069,EEE,3,B05,ST09
S070,Student-070,ECE,2,B03,ST05
S071,Student-071,IT,3,B03,ST06
S072,Student-072,CSE,1,B04,ST08
S073,Student-073,CSE,2,B04,ST07
S074,Student-074,IT,3,B05,ST10
S075,Student-075,ECE,3,B01,ST01
S076,Student-076,MECH,3,B02,ST04
S077,Student-077,MECH,3,B05,ST09
S078,Student-078,IT,3,B06,ST11
S079,Student-079,MECH,2,B01,ST01
S080,Student-080,MECH,2,B03,ST06
S081,Student-081,IT,3,B06,ST12
S082,Student-082,ECE,1,B05,ST10
S083,Student-083,ECE,1,B01,ST02
S084,Student-084,IT,3,B01,ST02
S085,Student-085,MECH,4,B02,ST04
S086,Student-086,CSE,1,B05,ST09
S087,Student-087,MECH,1,B06,ST11
S088,Student-088,EEE,2,B03,ST05
S089,Student-089,ECE,1,B01,ST02
S090,Student-090,IT,1,B03,ST05
S091,Student-091,MECH,2,B03,ST06
S092,Student-092,IT,4,B02,ST03
S093,Student-093,ECE,4,B01,ST01
S094,Student-094,ECE,2,B06,ST11
S095,Student-095,EEE,1,B06,ST11
S096,Student-096,IT,4,B04,ST07
S097,Student-097,IT,2,B03,ST06
S098,Student-098,EEE,3,B01,ST01
S099,Student-099,ECE,3,B03,ST05
S100,Student-100,MECH,3,B06,ST12
S101,Student-101,ECE,2,B01,ST01
S102,Student-102,CSE,1,B05,ST10
S103,Student-103,ECE,3,B05,ST10
S104,Student-104,EEE,2,B04,ST07
S105,Student-105,EEE,1,B03,ST05
S106,Student-106,ECE,4,B05,ST09
S107,Student-107,MECH,3,B01,ST02
S108,Student-108,ECE,3,B06,ST11
S109,Student-109,ECE,4,B06,ST12
S110,Student-110,MECH,2,B06,ST12
S111,Student-111,EEE,2,B02,ST04
S112,Student-112,EEE,1,B05,ST10
S113,Student-113,IT,4,B03,ST06
S114,Student-114,EEE,4,B05,ST10
S115,Student-115,MECH,4,B04,ST07
S116,Student-116,CSE,3,B06,ST11
S117,Student-117,CSE,2,B05,ST10
S118,Student-118,IT,2,B06,ST12
S119,Student-119,CSE,2,B02,ST03
S120,Student-120,EEE,4,B04,ST07
